Username,Description
GoogleChrome,"Auditing, performance metrics, and best practices for Progressive Web Apps"
hackiftekhar,Codeless drop-in universal library allows to prevent issues of keyboard sliding up and cover UITextField/UITextView. 
sorrycc," A collection of awesome browser-side JavaScript libraries, resources and shiny things."
chenglou,A spring that solves your animation problems.
FormidableLabs,A CLI dashboard for webpack dev server
WickyNilliams,Give your pages some headroom. Hide your header until you need it
strongloop,LoopBack makes it easy to build modern applications that require complex integrations.
begriffs,REST API for any Postgres database
chrissimpkins,A typeface designed for source code
tpope,pathogen.vim: manage your runtimepath
php-fig,Standards either proposed or approved by the Framework Interop Group
CocoaLumberjack,"A fast & simple, yet powerful & flexible logging framework for Mac and iOS"
scottjehl,"A responsive image polyfill for <picture>, srcset, sizes, and more"
Tencent,"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk."
lukasz-madon,A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python
davezuko,"Get started with React, Redux, and React-Router."
google,A Java serialization/deserialization library to convert Java Objects into JSON and back
DmitryBaranovskiy,JavaScript Vector Library
alibaba," Dubbo is a distributed, high performance RPC framework empowering applications with service import/export capabili"
ptmt,React Native for macOS is an experimental fork for writing desktop apps using Cocoa
nickbutcher,An Android app which provides design news & inspiration as well as being an example of implementing material design.
stedolan,Command-line JSON processor
hemanth,Jargon from the functional programming world in simple terms!
luanfujun,"Code and data for paper ""Deep Photo Style Transfer"": https://arxiv.org/abs/1703.07511"
gorhill,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.
hzlzh,& Apps///
google,Font files available from Google Fonts
geekcompany,Resume template for Chinese programmers . PHPiOSAndroidWebJavaC
peachananr,Create an Apple-like one page scroller website (iPhone 5S website) with One Page Scroll plugin
thomaspark,Themes for Bootstrap
facebook,Relay is a JavaScript framework for building data-driven React applications.
pouchdb, - PouchDB is a pocket-sized database.
JakeWharton,Paging indicator widgets compatible with the ViewPager from the Android Support Library and ActionBarSherlock.
binux,A Powerful Spider(Web Crawler) System in Python.
petehunt,Your guide to the (sometimes overwhelming!) React ecosystem.
airbnb,An iOS library to natively render After Effects vector animations
sindresorhus,List of useful Quick Look plugins for developers
Tencent,Mars is a cross-platform network component developed by WeChat.
nathanmarz,"Distributed and fault-tolerant realtime computation: stream processing, continuous computation, distributed RPC, and "
PHPMailer,The classic email sending library for PHP
rapid7,Metasploit Framework
you-dont-need,"CSS is powerful, you can do a lot of things without JS."
HubSpot,"Updated Jun 12, 2017"
jgm,Universal markup converter
reactnativecn,React Nativereact-nativeApp
abhishekbanthia, A public list of APIs from round the web.
android10,This is a sample app that is part of a series of blog posts I have written about how to architect an android applicat
BrowserSync,Keep multiple browsers & devices in sync when building websites. http://browsersync.io
Automattic,The new JavaScript- and API-powered WordPress.com
sqlmapproject,Automatic SQL injection and database takeover tool
JohnCoates,Apple TV Aerial Screensaver for Mac
marcuswestin,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews
Hack-with-Github,"A collection of various awesome lists for hackers, pentesters and security researchers"
pockethub,PocketHub Android App
onevcat,"A lightweight, pure-Swift library for downloading and caching images from the web."
jessepollak, make your credit card form better in one line of code
JuliaLang,The Julia Language: A fresh approach to technical computing.
robbiehanson,Asynchronous socket networking library for Mac and iOS
facebook,An open-source C++ library developed and used at Facebook.
fgnass,A spinning activity indicator
dzenbot,A drop-in UITableView/UICollectionView superclass category for showing empty datasets whenever the view has no conten
paularmstrong,Normalizes nested JSON according to a schema
nagadomi,Image Super-Resolution for Anime-Style Art
hashicorp,"Terraform is a tool for building, changing, and combining infrastructure safely and efficiently."
karma-runner,Spectacular Test Runner for JavaScript
fabric,"Simple, Pythonic remote execution and deployment."
pingcap,TiDB is a distributed NewSQL database compatible with MySQL protocol
maxwellito,JavaScript library to make drawing animation on SVG
fffaraz,"A curated list of awesome C/C++ frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff."
xgrommx,Awesome list of Redux examples and middlewares
yeoman,Yeoman - a set of tools for automating development workflow
sdelements,Self-hosted chat app for small teams
janpaepke,The javascript library for magical scroll interactions.
thoughtbot,Easy file attachment management for ActiveRecord
PHPOffice,A pure PHP library for reading and writing spreadsheet files
niklasvh,Screenshots with JavaScript
bailicangdu, vue2 + vuex  45 
containous,"Trfik, a modern reverse proxy"
kevinzhow,A simple and beautiful chart lib used in Piner and CoinsMan for iOS
phacility,Open software engineering platform and fun adventure game
brillout,Catalog of React Components & Libraries
keon,Minimal examples of data structures and algorithms in Python
powerline,Patched fonts for Powerline users.
redux-saga,An alternative side effect model for Redux apps
spree,Spree is a complete open source ecommerce solution for Ruby on Rails
kesenhoo,Android
ramda, Practical functional Javascript
godotengine,Godot Engine  Multi-platform 2D and 3D game engine
roots,WordPress starter theme with a modern development workflow
imakewebthings,Waypoints is a library that makes it easy to execute a function whenever you scroll to an element.
leereilly," A list of popular/awesome videos games, add-ons, maps, etc. hosted on GitHub. Any genre. Any platform. Any engine."
scala,The Scala programming language
crystal-lang,The Crystal Programming Language
ty4z2008,Machine LearningDeep LearningPostgreSQLDistributed SystemNode.JsGolang
fullstackio,swift implementation of flappy bird. More at fullstackedu.com
revel,"A high productivity, full-stack web framework for the Go language."
AHAAAAAAA, Live visualization of all the pokemon in your area... and more! (shutdown)
onevcat,"Xcode plug-in which helps you write documentation comment easier, for both Objective-C and Swift."
python,The Python programming language
NUKnightLab,TimelineJS: A Storytelling Timeline built in JavaScript.
daylerees,Colour schemes for a variety of editors created by Dayle Rees.
swagger-api,"Swagger UI is a collection of HTML, Javascript, and CSS assets that dynamically generate beautiful documentation from"
google,Flexbox for Android
tj,"The ultimate generator based flow-control goodness for nodejs (supports thunks, promises, etc)"
MrRio,Client-side JavaScript PDF generation for everyone.
tpope,"fugitive.vim: a Git wrapper so awesome, it should be illegal"
iissnan,Elegant theme for Hexo.
oxford-cs-deepnlp-2017,Oxford Deep NLP 2017 course
Microsoft,This repo is the official home of .NET on GitHub. It's a great starting point to find many .NET OSS projects from Mic
systemjs,Dynamic ES module loader
gollum,"A simple, Git-powered wiki with a sweet API and local frontend."
airyland,Vue UI Components based on WeUI
metafizzy, Filter & sort magical layouts
AngularClass," An Angular Starter kit featuring Angular 4 (Router, Http, Forms, Services, Tests, E2E, Dev/Prod, HMR, Async/Lazy R"
thejameskyle, Possibly the smallest compiler ever
vuejs,Centralized State Management for Vue.js.
so-fancy,Good-lookin' diffs. Actually nah The best-lookin' diffs. 
knockout,"Knockout makes it easier to create rich, responsive UIs with JavaScript"
bmorelli25,Free resources for learning Full Stack Web Development
aFarkas,This script is the defacto way to enable use of HTML5 sectioning elements in legacy Internet Explorer.
navasmdc,This is a library with components of Android L to you use in android 2.2
carhartl,"No longer maintained, superseded by JS Cookie:"
chrisbanes,DEPRECATED
hehonghui,Android
Rochester-NRT,"An independent, student-led replication of DeepMind's 2016 Nature publication, ""Mastering the game of Go with deep ne"
reactjs,Official React bindings for Redux
irungentoo,The future of online communications.
stylus,"Expressive, robust, feature-rich CSS language built for nodejs"
thoughtbot,A Lightweight Sass Tool Set
ochococo,Design Patterns implemented in Swift
kangax,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser"
daimajia,The Most Powerful Swipe Layout!
joewalnes,"Turn any program that uses STDIN/STDOUT into a WebSocket server. Like inetd, but for WebSockets."
shichuan,JavaScript Patterns
handsontable,Handsontable Community Edition - a JavaScript/HTML5 Spreadsheet Library for Developers
tj,node.js command-line interfaces made easy
apenwarr,Transparent proxy server that works as a poor man's VPN. Forwards over ssh. Doesn't require admin. Works with Linux a
gztchan, Creative Resources for Developer and Designer :)
vim-syntastic,Syntax checking hacks for vim
styled-components,Visual primitives for the component age 
mgonto,AngularJS service to handle Rest API Restful Resources properly and easily
phalcon,"High performance, full-stack PHP framework delivered as a C extension."
scrooloose,A tree explorer plugin for vim.
audreyr,Obsessive cheat sheet to favicon sizes/types. Please contribute! (Note: this may be in flux as I learn new things abo
goldfire,Javascript audio library for the modern web.
encode,Web APIs for Django.
slimphp,Slim Framework source code
slimphp,Slim Framework source code
ruby-grape,An opinionated framework for creating REST-like APIs in Ruby.
CosmicMind,An animation and graphics framework for Material Design in Swift.
sahat,Token-based AngularJS Authentication
javve,"The perfect library for adding search, sort, filters and flexibility to tables, lists and various HTML elements. Buil"
sindresorhus,Capture website screenshots
liaohuqiu,Ultra Pull to Refresh for Android. Support all the views.
google,A modern editor with a backend written in Rust.
Flipboard,An in-app debugging and exploration tool for iOS
airbnb,render React components to Sketch 
chriso,String validation
hapijs,Server Framework for Node.js
realm,Realm is a mobile database: a replacement for SQLite & ORMs
WhisperSystems,A private messenger for Android.
mitmproxy,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers
koalaman,"ShellCheck, a static analysis tool for shell scripts"
NodeRedis,redis client for node
greenrobot,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.
paperjs,"The Swiss Army Knife of Vector Graphics Scripting  Scriptographer ported to JavaScript and the browser, using HTML5 "
google,Memory Efficient Serialization Library
Matt-Esch,A Virtual DOM and diffing algorithm
CymChad,"Powerful and flexible RecyclerAdapter, www.recyclerview.org"
googlesamples,This sample shows how to implement an audio media app that works across multiple form factors and provide a consisten
guillaumepotier,"Validate your forms, frontend, without writing a single line of javascript"
facebook,"A library that provides an embeddable, persistent key-value store for fast storage."
eslint,A fully pluggable tool for identifying and reporting on patterns in JavaScript.
alexjc,"Turn your two-bit doodles into fine artworks with deep neural networks, generate seamless textures from photos, trans"
facebook,"An easy way to add a simple, shimmering effect to any view in an iOS app."
jtoy,TensorFlow - A curated list of dedicated resources http://tensorflow.org
matryer,Put the output from any script or program in your Mac OS X Menu Bar
facebook,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more."
arasatasaygin,Micro check library
nodemailer, Send e-mails with Node.JS  easy as cake!
teamcapybara,Acceptance test framework for web applications
resque,"Resque is a Redis-backed Ruby library for creating background jobs, placing them on multiple queues, and processing t"
dotnet,"This repo contains the .NET Core runtime, called CoreCLR, and the base library, called mscorlib. It includes the garb"
yudai,Share your terminal as a web application
shadowsocks,A shadowsocks client for Android
moklick,A continuously expanded list of framework/libraries and tools I used/want to use when building things on the web. Mos
ccampbell,Simple library for handling keyboard shortcuts in Javascript
Idnan,A guide to learn bash
gaearon,"DevTools for Redux with hot reloading, action replay, and customizable UI"
facebook,Yoga is a cross-platform layout engine which implements Flexbox. Follow https://twitter.com/yogalayout for updates.
phanan,A personal music streaming server that works.
tmpvar,"A JavaScript implementation of the WHATWG DOM and HTML standards, for use with node.js"
atlassian,A fully functional local AWS cloud stack. Develop and test your cloud apps offline!
mxcl,Promises for Swift & ObjC
fish-shell,The user-friendly command line shell.
hacksalot,"Generate polished rsums and CVs in HTML, Markdown, LaTeX, MS Word, PDF, plain text, JSON, XML, YAML, smoke signal, "
jordansissel,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity."
saltstack,Software to automate the management and configuration of any infrastructure or application at scale. Get access to th
eczarny,Spectacle allows you to organize your windows without using a mouse.
junegunn, Minimalist Vim Plugin Manager
chrisaljoudi,"uBlock: a fast, lightweight, and lean blocker for Chrome, Firefox, and Safari."
bbatsov,"A Ruby static code analyzer, based on the community Ruby style guide."
slackhq,A drop-in UIViewController subclass with a growing text input view and other useful messaging features
forkingdog,Template auto layout cell for automatically UITableViewCell height calculating
jquery-validation,jQuery Validation Plugin library sources
Homebrew, The missing package manager for macOS
rwaldron,"JavaScript Robotics and IoT programming framework, developed at Bocoup."
exacity,Deep Learning Book Chinese Translation
chmln,lightweight and powerful datetimepicker with no dependencies
NetEase,"A fast,scalable,distributed game server framework for Node.js."
harthur,[UNMAINTAINED] Neural networks in JavaScript
winstonjs,a multi-transport async logging library for node.js
Netflix,A JavaScript library for efficient data fetching
google,Grumpy is a Python to Go source code transcompiler and runtime.
HubSpot,Automatically display online/offline indication to your users
basecamp,A rich text editor for everyday writing
OpenEmu, Retro video game emulation for macOS
afaqurk,A beautiful web dashboard for Linux
HelloZeroNet,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network
sorin-ionescu,The configuration framework for Zsh
dmlc,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and"
dotnet,"The .NET Compiler Platform (""Roslyn"") provides open-source C# and Visual Basic compilers with rich code analysis APIs."
daimajia,Cute view animation collection.
ipfs,IPFS - The Permanent Web
mikepenz,"The flexible, easy to use, all in one drawer library for your Android project."
MithrilJS,A Javascript Framework for Building Brilliant Applications (development repo)
labstack,"High performance, minimalist Go web framework"
ksoichiro,Android library to observe scroll events on scrollable views.
powerline,"Powerline is a statusline plugin for vim, and provides statuslines and prompts for several other applications, includ"
elastic,"Logstash - transport and process your logs, events, or other data"
HannahMitt,Android application powering the mirror in my house
pyenv,Simple Python version management
mperham,"Simple, efficient background processing for Ruby"
Grouper,A collection of awesome flat UI components for iOS.
qrohlf,Algorithmically generated triangle art
JedWatson,A Select control built with and for React JS
TTTAttributedLabel,"A drop-in replacement for UILabel that supports attributes, data detectors, links, and more"
zenorocha, A collection of Alfred 3 workflows that will rock your world
facebookarchive,Three20 is an Objective-C library for iPhone developers
ejci,"Make use of your favicon with badges, images or videos"
gothinkster,"TodoMVC for the RealWorld  Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many m"
carrierwaveuploader,"Classier solution for file uploads for Rails, Sinatra and other Ruby web frameworks"
google,Best practices for modern web development
nicolargo,Glances an Eye on your system. A top/htop alternative.
elastic, Kibana analytics and search dashboard for Elasticsearch
datasciencemasters,The Open Source Data Science Masters
mishoo,JavaScript parser / mangler / compressor / beautifier library for NodeJS
danialfarid,Lightweight Angular directive to upload files with optional FileAPI shim for cross browser support
DrKLO,Telegram for Android source
FFmpeg,mirror of git://source.ffmpeg.org/ffmpeg.git
cmusatyalab,Face recognition with deep neural networks.
kamens,jQuery plugin to fire events when user's cursor aims at particular dropdown menu items. For making responsive mega dr
mwaterfall,"A simple iOS photo and video browser with grid view, captions and selections."
docker,Visual Docker Container Management on Mac & Windows
piwik,Liberating Web Analytics. Star us on Github? +1. Piwik is the leading open alternative to Google Analytics that gives
WebAssembly,WebAssembly Design Documents
laravel,"Updated Jun 24, 2017"
mrmrs,Smarter defaults for colors on the web.
path,iOS library for quickly displaying images while scrolling
veggiemonk, A curated list of Docker resources and projects
ConnorAtherton,"Delightful, performance-focused pure css loading animations."
reactjs,Selector library for Redux
activeadmin,The administration framework for Ruby on Rails applications.
marmelab,Monkey testing library for web apps and Node.js
buger,GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to con
geeeeeeeeek, A better WeChat on macOS and Linux. Built with Electron by Zhongyi Tong.
chinchang,A CSS only tooltip library for your lovely websites.
purifycss,Remove unused CSS. Also works with single-page apps.
karpathy,Deep Learning in Javascript. Train Convolutional Neural Networks (or ordinary ones) in your browser.
NodeBB,Node.js based forum software built for the modern web
uNetworking,Tiny WebSockets
Ramotion,RAMAnimatedTabBarController is a Swift module for adding animation to tabbar items.
EnterpriseQualityCoding,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious busin
markets," A collection of awesome Ruby libraries, tools, frameworks and software"
nodejitsu,A full-featured http proxy for node.js
rstacruz,Super-smooth CSS3 transformations and transitions for jQuery
google,Traceur is a JavaScript.next-to-JavaScript-of-today compiler
jhipster,Open Source application generator for creating Spring Boot + Angular projects in seconds!
carlhuda,Vim distribution
HubSpot,"A positioning engine to make overlays, tooltips and dropdowns better #hubspot-open-source"
hdodenhof,A circular ImageView for Android
dropbox,Low-Budget Password Strength Estimation
jacomyal,A JavaScript library dedicated to graph drawing
svg,Nodejs-based tool for optimizing SVG vector graphics files.
css-modules,Documentation about css-modules
philipwalton,A community-curated list of flexbox issues and cross-browser workarounds for them.
jshint,JSHint is a tool that helps to detect errors and potential problems in your JavaScript code
matthieua,Reveal CSS animation as you scroll down a page
winterbe,Modern Java - A Guide to Java 8
relax,"New generation CMS on top of React, Redux and GraphQL"
akka,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM"
raywenderlich,The official Swift style guide for raywenderlich.com.
dthree,Cross-platform Linux commands in ES6
senchalabs,Connect is a middleware layer for Node.js
ocornut,Bloat-free Immediate Mode Graphical User interface for C++ with minimal dependencies
apple,This maintains proposals for changes and user-visible enhancements to the Swift Programming Language.
mozilla-mobile,Firefox for iOS
PowerShell,PowerShell for every system!
spotify,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, work"
minio,Minio is an open source object storage server compatible with Amazon S3 APIs
ruanyf,ECMAScript 6 JavaScript  ECMAScript 6 
home-assistant, Open-source home automation platform running on Python 3
mxgmn,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics.
kkga,A Hyperminimal UI Theme for Sublime Text
cakephp,CakePHP: The Rapid Development Framework for PHP - Official Repository
FredrikNoren,The easiest way to use git. On any platform. Anywhere.
mozilla,A HTML5/JavaScript multiplayer game experiment
marionettejs,The Backbone Framework
javan,Cron jobs in Ruby
connors,The fastest way to build beautiful Electron apps using simple HTML and CSS
rkt,"rkt is a pod-native container engine for Linux. It is composable, secure, and built on standards."
go-kit,A standard library for microservices.
redox-os,Redox: A Rust Operating System
clojure,Clojure to JS compiler
nosir,Format input text content when you are typing...
realm,A tool to enforce Swift style and conventions.
celery,Distributed Task Queue (development branch)
CRYTEK,CRYENGINE is a powerful real-time game development platform created by Crytek.
babun,Babun - a Windows shell you will love!
tj,Node version management
getgrav,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS"
akveo,Angular Bootstrap Admin Panel Framework
google,An extensible media player for Android
kataras,[ACQUIRED] The fastest web framework for Go in (THIS) Earth. HTTP/2 Ready-To-GO.
philc,The hacker's browser.
FineUploader,"Multiple file upload plugin with image previews, drag and drop, progress bars. S3 and Azure support, image scaling, f"
torch,http://torch.ch
serbanghita,Mobile_Detect is a lightweight PHP class for detecting mobile devices (including tablets). It uses the User-Agent str
Aufree,A curated list of delightful iOS resources.
CoderMJLee,"A fast, convenient and nonintrusive conversion between JSON and model. Your model class don't need to extend another "
hashicorp,A tool for managing secrets.
getpelican,Static site generator that supports Markdown and reST syntax. Powered by Python.
reactide,Reactide is the first dedicated IDE for React web application development. http://reactide.io
gaearon,Tweak React components in real time.
graphql,A reference implementation of GraphQL for JavaScript
mailpile,"A free & open modern, fast email client with user-friendly encryption and privacy features"
romaonthego,iOS 7/8 style side menu with parallax effect.
atech, A fully featured open source mail delivery platform for incoming & outgoing e-mail
Compass,Compass is no longer actively maintained. Compass is a Stylesheet Authoring Environment that makes your website desig
amsul,"(Looking for Project Maintainers) The mobile-friendly, responsive, and lightweight jQuery date & time input picker."
douglascrockford,JSON in JavaScript
mailcheck,Reduce misspelled email addresses in your web apps.
hakimel,Buttons with built-in loading indicators.
TeamStuQ,StuQ 
dangrossman,Date range picker component for Bootstrap
facebook,"A static analyzer for Java, C, C++, and Objective-C"
c3js,A D3-based reusable chart library
arduino,open-source electronics prototyping platform
rupa,z - jump around
twitter,"A fast, light-weight proxy for memcached and redis"
odoo,Odoo. Open Source Apps To Grow Your Business.
deeplearning4j,"Deep Learning for Java, Scala & Clojure on Hadoop & Spark With GPUs - From Skymind"
restify,node.js REST framework specifically meant for web service APIs
SeleniumHQ,A browser automation framework and ecosystem.
facebook,A conforming Objective-C WebSocket client library.
tmux,tmux source code
coryhouse,"React + Redux starter kit / boilerplate with Babel, hot reloading, testing, linting and a working example app, all bu"
getredash,"Make Your Company Data Driven. Connect to any data source, easily visualize and share your data."
CodeSeven,Simple javascript toast notifications
fullcalendar,Full-sized drag & drop event calendar (jQuery plugin)
zeit,Package your Node.js project into an executable
mishoo,JavaScript parser / mangler / compressor / beautifier toolkit
fronteed,Highly customizable checkboxes and radio buttons (jQuery & Zepto)
CEWendel,An easy-to-use UITableViewCell subclass that implements a swippable content view which exposes utility buttons (simil
iview,A high quality UI Toolkit built on Vue.js
seajs,A Module Loader for the Web
ReactiveX,A reactive programming library for JavaScript
cjbarber,"Tools of The Trade, from Hacker News."
hangtwenty,Dive into Machine Learning with Python Jupyter notebook and scikit-learn
giakki,Remove unused styles from CSS
chrisbanes,Demos the new Android Design library.
boot2docker,Lightweight Linux for Docker
libuv,Cross-platform asynchronous I/O
feathersjs,A REST and realtime API layer for modern applications.
fatih,Go development plugin for Vim
dexteryy,"A Big Picture, Thesaurus, and Taxonomy of Modern JavaScript Web Development"
facebook,"An open IDE for web and native mobile development, built on top of Atom"
breakwa11,"ShadowsocksR update rss, SSR organization https://github.com/shadowsocksr"
tmuxinator,Manage complex tmux sessions easily
orhanobut," Simple, pretty and powerful logger for android"
alexjc,Super Resolution for images using deep learning.
mhinz, All things Vim!
hpneo,the easiest way to use Google Maps
guarinogabriel, OS X command line tools for developers  The ultimate tool to manage your Mac. It provides a huge set of command li
angular,E2E test framework for Angular apps
casperjs,Navigation scripting and testing utility for PhantomJS and SlimerJS
bendc,"Some HTML, CSS and JS best practices."
erikras,A Higher Order Component using react-redux to keep form state in a Redux store
plataformatec,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup."
FelisCatus,Manage and switch between multiple proxies quickly & easily.
vurtun,A single-header ANSI C gui library
hashicorp,Packer is a tool for creating identical machine images for multiple platforms from a single source configuration.
mozilla,A library optimized for concise and principled data graphics and layouts.
255kb,A collection of services with great free tiers for developers on a budget
louischatriot,"The JavaScript Database, for Node.js, nw.js, electron and the browser"
Famous,This repo is being deprecated. Please check out http://github.com/famous/engine
ubuwaits,A showcase of the best typefaces from the Google web fonts directory.
StackExchange,Dapper - a simple object mapper for .Net
Mango,A touch slideout navigation menu for your mobile web apps.
sitaramc,"Hosting git repositories -- Gitolite allows you to setup git hosting on a central server, with very fine-grained acce"
cyclejs,A functional and reactive JavaScript framework for predictable code
OAI,The OpenAPI Specification Repository
h4cc,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:"
git-up,The Git interface you've been missing all your life has finally arrived.
flightjs,"A component-based, event-driven JavaScript framework from Twitter"
nightwatchjs,Automated testing and continous integration framework based on node.js and selenium webdriver
h2o,"H2O - the optimized HTTP/1, HTTP/2 server"
nlp-compromise,Natural language processing in javascript
xing,Open source rich text editor based on HTML5 and the progressive-enhancement approach. Uses a sophisticated security c
twitter,Twitter Emoji for Everyone
google,Reactive Programming for Android
bazelbuild,"a fast, scalable, multi-language and extensible build system"
thoughtbot,A guide for programming in style.
howdyai,Botkit is a toolkit for making bot applications
kaminari," A Scope & Engine based, clean, powerful, customizable and sophisticated paginator for Ruby webapps"
rasbt,"The ""Python Machine Learning"" book code repository and info resource"
Quick,The Swift (and Objective-C) testing framework.
sferik,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data
NaturalNode,general natural language facilities for node
SignalR,Incredibly simple real-time web for .NET
morrisjs,Pretty time-series line graphs
akveo,Angular admin dashboard framework
aFarkas,"High performance and SEO friendly lazy loader for images (responsive and normal), iframes and more, that detects any "
tuupola,jQuery plugin for lazy loading images
maxogden, a short introduction to node.js
CachetHQ,An open source status page system for everyone.
alexa,This project demonstrates how to access and test the Alexa Voice Service using a Java client (running on a Raspberry 
Theano,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi"
jigish,A window management application (replacement for Divvy/SizeUp/ShiftIt)
jp9000,OBS - Free and open source software for live streaming and screen recording
desandro," JavaScript is all like ""You images done yet or what?"""
react-toolbox,A set of React components implementing Google's Material Design specification with the power of CSS Modules
Microsoft,Microsoft REST API Guidelines
nikitavoloboev, Search Interactive Mind Maps to learn anything
rethinkdb,"Horizon is a realtime, open-source backend for JavaScript apps."
Kotlin,Pleasant Android application development
PureLayout,"The ultimate API for iOS & OS X Auto Layout  impressively simple, immensely powerful. Objective-C and Swift compatible."
roughike,A custom view component that mimics the new Material Design Bottom Navigation pattern.
mdo,"Standards for flexible, durable, and sustainable HTML and CSS."
google,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.
mobile-shell,Mobile Shell
bodymovin,after effects to html library
thoughtbot,A shell script to set up a macOS laptop for web and mobile development.
boltdb,An embedded key/value database for Go.
braziljs,"An easy-to-read, quick reference for JS best practices, accepted coding standards, and links around the Web"
plotly,The open source JavaScript graphing library that powers plotly
poteto, Companies that don't have a broken hiring process
chrisjenx,Custom fonts in Android the easy way...
eliangcs,HTTPie + prompt_toolkit = an interactive command-line HTTP client featuring autocomplete and syntax highlighting
robertdavidgraham,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes."
ElemeFE,Mobile UI elements for Vue.js
lhc70000,The modern video player for macOS.
